"source","id","longitude","latitude"
"server",7469,102.6264864,18.0049984
"server",7534,102.62803172829,17.998576013791
"server",7537,102.63540387163,18.140214085596
"server",7588,102.66394492248,17.99509010745
"server",7593,102.6243051,18.1297411
"server",7594,102.6361536,17.9869594
"server",7595,102.6533798,18.1127544
"server",7621,102.5458655,18.0655696
"server",7681,102.64074440124,17.982944562117
"server",7681,102.6004253,18.0617294
"server",7690,102.67585167221,17.989156797276
"server",7714,102.6254944,18.1294698
"server",7720,102.6295012516,17.980659403855
"server",7731,102.6260719,18.0236897
"server",7735,102.6004253,18.0617294
"server",7737,102.6282431,17.9817976
"server",7758,102.62884673191,18.004309498205
"server",7792,102.6523183,17.9315583
"server",7795,102.6503867,17.9314111
"server",7801,102.6179623,18.0205685
"server",7805,102.61501764898,17.962788000665
"server",7812,102.6392331441,17.993996981548
"server",7813,102.63916768143,17.993977912718
"server",7835,102.6191494,18.0141868
"server",7862,102.62939304123,17.989160749147
"server",7903,102.6353454,17.9892457
"server",7947,102.63893533508,17.977226888778
"server",7953,102.54760749555,17.983013842703
"server",8076,102.624342,17.9131022
"server",8098,102.6316366,17.9877547
"server",8127,102.62787085835,18.137947472937
"whatsapp",4349,102.605293,17.964321
"whatsapp",4374,102.607094,18.005964
"whatsapp",4378,102.623672,17.980669
"whatsapp",4423,102.620758,18.018799
"whatsapp",4443,102.647606,17.971043
"whatsapp",4515,102.62278,17.976343
"whatsapp",4596,102.605064,17.964151
"whatsapp",4666,102.605812,17.963827
"whatsapp",4667,102.505038,18.144547
"whatsapp",4770,102.610115,17.971994
"whatsapp",4825,102.683167,17.950954
"whatsapp",4835,102.62397,18.029547
"whatsapp",4878,102.620613,17.907196
"whatsapp",5107,102.641167,17.912216
"whatsapp",5120,102.59967,17.970963
"whatsapp",5182,102.632973,17.963015
"whatsapp",5383,102.685806,17.982517
"whatsapp",5543,102.574516,17.971207
"whatsapp",5553,102.680862,18.277033
"whatsapp",5563,102.62957,18.086802
"whatsapp",5592,102.519302,17.985758
"whatsapp",5595,102.650513,17.870512
"whatsapp",5738,102.624237,17.8936
"whatsapp",5835,102.582703,18.181219
"whatsapp",5846,102.538704,17.99213
"whatsapp",5847,102.538704,17.99213
"whatsapp",5861,102.717644,17.887072
"whatsapp",5872,102.628189,17.978556
"whatsapp",5888,102.54599,18.042246
"whatsapp",5903,102.647652,17.900326
"whatsapp",5910,102.580872,17.978716
"whatsapp",5925,102.61203,17.967728
"whatsapp",5930,102.605385,18.003763
"whatsapp",5931,102.627396,17.918234
"whatsapp",5933,102.674561,18.130629
"whatsapp",5934,102.657219,17.997936
"whatsapp",5935,102.646721,17.898184
"whatsapp",5939,102.623337,18.017471
"whatsapp",5943,102.63031,18.044958
"whatsapp",5946,102.586792,17.986362
"whatsapp",5952,102.619209,17.995115
"whatsapp",5966,102.654388,17.970554
"whatsapp",5988,102.635521,17.837305
"whatsapp",5993,102.614777,17.931696
"whatsapp",6019,102.36462,18.03067
"whatsapp",6025,102.687881,18.249437
"whatsapp",6029,102.641129,18.015486
"whatsapp",6032,102.792717,18.125437
"whatsapp",6050,102.610657,17.989601
"whatsapp",6060,102.612823,18.051872
"whatsapp",6060,102.651245,18.000114
"whatsapp",6072,102.67318,18.259081
"whatsapp",6082,102.580538,17.975993
"whatsapp",6084,102.662209,17.908205
"whatsapp",6091,102.670731,18.005465
"whatsapp",6092,102.634987,18.044935
"whatsapp",6096,102.828018,18.206008
"whatsapp",6110,102.673164,18.259092
"whatsapp",6123,102.63871,17.974653
"whatsapp",6124,102.637077,18.043884
"whatsapp",6153,102.6246709,17.9255379
"whatsapp",6165,102.618599,18.014835
"whatsapp",6177,102.673164,18.259092
"whatsapp",6182,102.637077,18.043884
"whatsapp",6187,102.625389,17.944397
"whatsapp",6191,102.61934,18.014286
"whatsapp",6201,102.637436,18.12479
"whatsapp",6215,102.626678,17.947342
"whatsapp",6221,102.622032,18.013521
"whatsapp",6237,102.638832,17.97015
"whatsapp",6238,102.619019,18.014349
"whatsapp",6265,102.593521,17.975897
"whatsapp",6266,102.613937,17.99272
"whatsapp",6270,102.620667,17.921125
"whatsapp",6272,102.62645,18.007412
"whatsapp",6273,102.657143,18.109257
"whatsapp",6276,102.6254827,17.977211
"whatsapp",6284,102.679298,17.971218
"whatsapp",6285,102.670731,18.00555
"whatsapp",6289,102.665916,17.990448
"whatsapp",6319,102.625237,17.967718
"whatsapp",6328,102.67308,17.972172
"whatsapp",6341,102.6567,17.99696
"whatsapp",6342,102.632378,18.039907
"whatsapp",6343,102.640503,17.912931
"whatsapp",6351,102.626923,18.023859
"whatsapp",6363,102.544075,18.0205
"whatsapp",6365,102.650654,18.003064
"whatsapp",6366,102.627625,18.010181
"whatsapp",6367,102.618176,17.990912
"whatsapp",6370,102.639,18.027935
"whatsapp",6375,102.546883,18.022898
"whatsapp",6381,102.650675,18.00149
"whatsapp",6385,102.611305,18.042887
"whatsapp",6387,102.627502,18.019148
"whatsapp",6391,102.613937,17.960556
"whatsapp",6392,102.646416,18.031967
"whatsapp",6397,102.642311,17.95657
"whatsapp",6401,102.635818,17.927862
"whatsapp",6413,102.719994,17.911577
"whatsapp",6421,102.642349,17.956553
"whatsapp",6422,102.642311,17.95657
"whatsapp",6451,102.70517,17.884094
"whatsapp",6456,102.707817,18.067801
"whatsapp",6463,102.649208,18.058933
"whatsapp",6465,102.663292,18.072104
"whatsapp",6488,102.628525,18.009357
"whatsapp",6490,102.794312,18.128803
"whatsapp",6492,102.656891,17.996702
"whatsapp",6494,102.6493,17.887613
"whatsapp",6495,102.727945,17.888794
"whatsapp",6501,102.612236,17.88801
"whatsapp",6527,102.623039,17.912678
"whatsapp",6536,102.628517,17.869987
"whatsapp",6552,102.613609,17.972134
"whatsapp",6554,102.613602,17.972149
"whatsapp",6563,102.616821,18.014887
"whatsapp",6567,102.6343,17.935356
"whatsapp",6573,102.615532,17.966122
"whatsapp",6588,102.58448,17.975773
"whatsapp",6591,102.639679,18.048626
"whatsapp",6599,102.475082,18.076509
"whatsapp",6600,102.668098,17.988853
"whatsapp",6601,102.666519,17.985939
"whatsapp",6602,102.632552,18.057859
"whatsapp",6604,102.582603,17.967941
"whatsapp",6605,102.613785,17.971918
"whatsapp",6614,102.657654,17.969982
"whatsapp",6616,102.65966,17.987148
"whatsapp",6623,102.626595,18.031876
"whatsapp",6625,102.634361,18.003916
"whatsapp",6626,102.633881,18.022436
"whatsapp",6640,102.612869,18.040848
"whatsapp",6646,102.588539,17.988209
"whatsapp",6648,102.634102,18.030487
"whatsapp",6652,102.62677,18.128334
"whatsapp",6655,102.637817,18.002455
"whatsapp",6656,102.761353,18.055351
"whatsapp",6671,102.710957,18.050891
"whatsapp",6674,102.662689,17.989092
"whatsapp",6675,102.668343,18.065004
"whatsapp",6709,102.610077,17.885521
"whatsapp",6723,102.642036,18.04867
"whatsapp",6724,102.615701,17.998859
"whatsapp",6726,102.628059,17.996809
"whatsapp",6730,102.650101,18.013998
"whatsapp",6732,102.626106,18.004713
"whatsapp",6736,102.634666,17.949511
"whatsapp",6752,102.738838,17.889429
"whatsapp",6754,102.628395,17.970028
"whatsapp",6779,102.617104,18.027248
"whatsapp",6792,102.668999,18.048965
"whatsapp",6814,102.638725,18.008797
"whatsapp",6820,102.667915,17.930351
"whatsapp",6832,102.639801,17.956116
"whatsapp",6835,102.635437,18.027372
"whatsapp",6850,102.667343,18.063576
"whatsapp",6854,102.702202,17.990597
"whatsapp",6863,102.609108,18.038092
"whatsapp",6864,102.632561,18.040562
"whatsapp",6869,102.707947,17.995308
"whatsapp",6870,102.672447,17.98702
"whatsapp",6871,102.606918,17.991156
"whatsapp",6872,102.590065,17.974285
"whatsapp",6874,102.610657,18.043627
"whatsapp",6879,102.627884,17.996294
"whatsapp",6884,102.627739,18.013754
"whatsapp",6890,102.637215,18.030617
"whatsapp",6896,102.612105555556,17.972375
"whatsapp",6897,102.612105555556,17.9677194444444
"whatsapp",6898,102.628098,17.965107
"whatsapp",6910,102.633781,18.006445
"whatsapp",6911,102.638382,17.971561
"whatsapp",6915,102.702576,18.065212
"whatsapp",6918,102.626198,18.049267
"whatsapp",6920,102.671303,18.041607
"whatsapp",6928,102.635719,18.021141
"whatsapp",6952,102.637413,18.045618
"whatsapp",6957,102.633835,17.961317
"whatsapp",6958,102.637047,18.032568
"whatsapp",6963,102.5862222,18.0390833
"whatsapp",6975,102.627775,17.975211
"whatsapp",6982,102.641548,18.049597
"whatsapp",6986,102.634087,18.013605
"whatsapp",6993,102.626091,17.916664
"whatsapp",6997,102.638229,17.944998
"whatsapp",7001,102.646729,17.895433
"whatsapp",7004,0.925583333333333,40.3775277777778
"whatsapp",7011,102.735603,17.888832
"whatsapp",7013,102.644463,17.996294
"whatsapp",7017,102.658386,17.992701
"whatsapp",7028,102.599724,17.990894
"whatsapp",7040,102.62381,17.960314
"whatsapp",7046,102.637161,17.945862
"whatsapp",7048,102.60556,17.971626
"whatsapp",7049,102.653015,17.872196
"whatsapp",7054,102.624313,18.036472
"whatsapp",7074,102.630882,18.022495
"whatsapp",7078,102.609718,17.994854
"whatsapp",7080,102.638435,18.046574
"whatsapp",7091,102.619324,18.013691
"whatsapp",7092,102.605614,17.99
"whatsapp",7098,102.615837,17.981504
"whatsapp",7106,102.607811,17.971004
"whatsapp",7114,102.606674,18.002192
"whatsapp",7116,102.619804,18.026251
"whatsapp",7118,102.671288,18.003126
"whatsapp",7119,102.619804,18.026251
"whatsapp",7120,102.639824,17.899055
"whatsapp",7122,102.63229,17.98724
"whatsapp",7132,102.666313,17.954878
"whatsapp",7136,102.820137,21.469618
"whatsapp",7140,102.670113,17.954027
"whatsapp",7156,102.649162,18.036674
"whatsapp",7171,102.628662,18.012838
"whatsapp",7172,102.632927,18.127207
"whatsapp",7194,102.632858,18.041759
"whatsapp",7195,102.618568,17.999025
"whatsapp",7196,102.632858,18.041759
"whatsapp",7201,102.66479,17.969797
"whatsapp",7203,102.568657,17.971638
"whatsapp",7211,102.623581,17.995207
"whatsapp",7212,102.649368,18.10767
"whatsapp",7213,102.632164,18.027962
"whatsapp",7220,102.757149,18.059662
"whatsapp",7223,102.63163,18.056873
"whatsapp",7225,102.637573,18.014614
"whatsapp",7231,102.718391,17.887468
"whatsapp",7240,102.717926,17.890387
"whatsapp",7244,102.632835,18.041153
"whatsapp",7248,102.602829,17.964785
"whatsapp",7256,102.620728,18.002157
"whatsapp",7261,102.632469,18.056412
"whatsapp",7264,102.623795,18.034561
"whatsapp",7277,102.610062,17.974543
"whatsapp",7278,102.607452,17.973938
"whatsapp",7279,102.642342,18.015518
"whatsapp",7285,102.642944,17.943314
"whatsapp",7287,102.628876,17.963039
"whatsapp",7289,102.618759,18.003323
"whatsapp",7291,102.631645,18.062469
"whatsapp",7294,102.635063,17.973541
"whatsapp",7336,102.624321,17.910267
"whatsapp",7341,102.602951,18.014261
"whatsapp",7349,102.565155,18.030542
"whatsapp",7350,102.646873,18.044163
"whatsapp",7367,102.60704,18.007113
"whatsapp",7368,102.637985,18.03257
"whatsapp",7375,102.59182,18.001896
"whatsapp",7392,102.628693,17.998703
"whatsapp",7740,102.628159,18.181597
"whatsapp",7794,102.663727,18.067509
"whatsapp",8132,102.603973,18.0439
"old_gps",14,102.628224,17.963667
"old_gps",51,102.635278,17.935949
"old_gps",65,102.629734,18.132889
"old_gps",101,102.614602,17.988477
"old_gps",106,102.654474,17.998938
"old_gps",109,102.635034,17.934027
"old_gps",113,102.928864,18.079674
"old_gps",118,102.649224,17.888457
"old_gps",119,102.647733,17.931876
"old_gps",125,102.647749,17.931889
"old_gps",130,102.66702,18.047627
"old_gps",131,102.64987,18.04152
"old_gps",132,102.666894,18.062078
"old_gps",137,102.880515,18.042315
"old_gps",139,102.604422,17.966233
"old_gps",153,102.564867,17.969998
"old_gps",156,102.663406,18.124745
"old_gps",162,102.563545,17.973806
"old_gps",169,102.634282,17.945058
"old_gps",173,102.674559,18.052785
"old_gps",174,102.669938,18.044942
"old_gps",181,102.572387,17.96892
